word,reading,description,source_url
委員長会議,いいんちょうかいぎ,"議長、副議長、各委員長などが委員会運営について協議・調整する会議です。",https://www.gijiroku.jp/mie/yougo/01_a.html
委員会条例,いいんかいじょうれい,"委員会の設置、委員の任期や定数、運営方法などを定める条例です。",https://www.gijiroku.jp/mie/yougo/01_a.html
委員長報告,いいんちょうほうこく,"委員会で行った議案や請願の審査・調査の経過と結果を委員長が本会議で報告することです。",https://www.gijiroku.jp/mie/yougo/01_a.html
意見書,いけんしょ,"議会の意思を意見としてまとめ、国会や国の関係機関などに提出する文書です。",https://www.gijiroku.jp/mie/yougo/01_a.html
一括議題,いっかつぎだい,"関連する複数の議案をまとめて議題にすることです。",https://www.gijiroku.jp/mie/yougo/01_a.html
一括質問,いっかつしつもん,"複数の質問項目をまとめて質問し、まとめて答弁を求める方式です。",https://www.gijiroku.jp/mie/yougo/01_a.html
一般質問,いっぱんしつもん,"議員が県政全般について行う質問で、会派を代表して行う代表質問とは区別されます。",https://www.gijiroku.jp/mie/yougo/01_a.html
演壇,えんだん,"本会議で発言するために設けられた壇です。演壇に上がることを登壇といいます。",https://www.gijiroku.jp/mie/yougo/01_a.html
開会,かいかい,"定例会や臨時会などの議会を始めることです。",https://www.gijiroku.jp/mie/yougo/02_k.html
会期,かいき,"議会が会議を行う期間で、開会日から閉会日までを指します。",https://www.gijiroku.jp/mie/yougo/02_k.html
開議,かいぎ,"その日の会議を始めることです。会議を終えることは散会といいます。",https://www.gijiroku.jp/mie/yougo/02_k.html
会議規則,かいぎきそく,"本会議や委員会の議事手続、選挙、請願の扱いなどを定める規則です。",https://www.gijiroku.jp/mie/yougo/02_k.html
会議録署名議員,かいぎろくしょめいぎいん,"会議録に議長や副議長とともに署名する議員です。",https://www.gijiroku.jp/mie/yougo/02_k.html
会派,かいは,"同じような考え方や意見を持つ議員が活動するために結成するグループです。",https://www.gijiroku.jp/mie/yougo/02_k.html
各派世話人会,かくはせわにんかい,"選挙後などに、議会の運営について協議・調整するため各会派から選ばれた議員が開く会議です。",https://www.gijiroku.jp/mie/yougo/02_k.html
可決・否決,かけつ・ひけつ,"議案や意見書案などを可とする議決を可決、否とする議決を否決といいます。",https://www.gijiroku.jp/mie/yougo/02_k.html
関連質問,かんれんしつもん,"最初に質問した議員の質問事項に関連して、別の議員が行う追加の質問です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議案,ぎあん,"議会の議決を求めるために知事、議員または委員会が提出する案件です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議案聴取会,ぎあんききとりかい,"本会議に提出された知事提出議案について、関係部局から概要説明を受ける会です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議案の提出,ぎあんのていしゅつ,"知事、議員または委員会が議案を議長に提出することです。",https://www.gijiroku.jp/mie/yougo/02_k.html
議員待機席,ぎいんたいきせき,"質問した議員が答弁を受ける間に待機するための席です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議員派遣,ぎいんはけん,"議案の審査や調査などのため、議員を県内外や海外へ派遣することです。",https://www.gijiroku.jp/mie/yougo/02_k.html
議員発言用演壇,ぎいんはつげんようえんだん,"議員席側に設けられた発言用の演壇です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議会運営委員会,ぎかいうんえいいいんかい,"会期、議事日程、議案や質問の扱いなど、議会運営に関する事項を協議・調査・審査する委員会です。",https://www.gijiroku.jp/mie/yougo/02_k.html
